seed,M,C,epsilon,shots
61325.0,8.0,1000.0,0.25,163.0
85987.0,8.0,1000.0,0.25,124.0
53492.0,8.0,1000.0,0.25,124.0
50778.0,8.0,1000.0,0.25,86.0
48598.0,8.0,1000.0,0.25,31.0
61723.0,8.0,1000.0,0.25,72.0
97134.0,8.0,1000.0,0.25,371.0
54509.0,8.0,1000.0,0.25,445.0
34753.0,16.0,1000.0,0.25,3955.0
932.0,16.0,1000.0,0.25,179.0
61325.0,16.0,1000.0,0.25,8192.0
85987.0,16.0,1000.0,0.25,6234.0
53492.0,16.0,1000.0,0.25,3610.0
50778.0,16.0,1000.0,0.25,841.0
48598.0,16.0,1000.0,0.25,406.0
61723.0,16.0,1000.0,0.25,2091.0
97134.0,16.0,1000.0,0.25,2748.0
54509.0,16.0,1000.0,0.25,3296.0
34753.0,24.0,1000.0,0.25,640.0
932.0,24.0,1000.0,0.25,113.0
61325.0,24.0,1000.0,0.25,-1.0
85987.0,24.0,1000.0,0.25,4331.0
53492.0,24.0,1000.0,0.25,2748.0
50778.0,24.0,1000.0,0.25,3296.0
48598.0,24.0,1000.0,0.25,4331.0
61723.0,24.0,1000.0,0.25,1909.0
97134.0,24.0,1000.0,0.25,487.0
54509.0,24.0,1000.0,0.25,5196.0
34753.0,32.0,1000.0,0.25,1326.0
932.0,32.0,1000.0,0.25,2091.0
61325.0,32.0,1000.0,0.25,-1.0
85987.0,32.0,1000.0,0.25,-1.0
53492.0,32.0,1000.0,0.25,-1.0
50778.0,32.0,1000.0,0.25,3010.0
48598.0,32.0,1000.0,0.25,-1.0
61723.0,32.0,1000.0,0.25,1105.0
97134.0,32.0,1000.0,0.25,4744.0
54509.0,32.0,1000.0,0.25,-1.0
34753.0,4.0,1000.0,0.35,18.0
932.0,4.0,1000.0,0.35,1.0
61325.0,4.0,1000.0,0.35,2.0
85987.0,4.0,1000.0,0.35,2.0
53492.0,4.0,1000.0,0.35,2.0
50778.0,4.0,1000.0,0.35,2.0
48598.0,4.0,1000.0,0.35,2.0
61723.0,4.0,1000.0,0.35,2.0
97134.0,4.0,1000.0,0.35,3.0
54509.0,4.0,1000.0,0.35,4.0
34753.0,8.0,1000.0,0.35,257.0
932.0,8.0,1000.0,0.35,31.0
61325.0,8.0,1000.0,0.35,163.0
85987.0,8.0,1000.0,0.35,65.0
53492.0,8.0,1000.0,0.35,45.0
50778.0,8.0,1000.0,0.35,78.0
48598.0,8.0,1000.0,0.35,29.0
61723.0,8.0,1000.0,0.35,10.0
97134.0,8.0,1000.0,0.35,214.0
54509.0,8.0,1000.0,0.35,235.0
34753.0,16.0,1000.0,0.35,921.0
932.0,16.0,1000.0,0.35,60.0
61325.0,16.0,1000.0,0.35,6828.0
85987.0,16.0,1000.0,0.35,3610.0
53492.0,16.0,1000.0,0.35,2091.0
50778.0,16.0,1000.0,0.35,371.0
48598.0,16.0,1000.0,0.35,282.0
61723.0,16.0,1000.0,0.35,640.0
97134.0,16.0,1000.0,0.35,1743.0
54509.0,16.0,1000.0,0.35,214.0
34753.0,24.0,1000.0,0.35,445.0
932.0,24.0,1000.0,0.35,113.0
61325.0,24.0,1000.0,0.35,-1.0
85987.0,24.0,1000.0,0.35,3955.0
53492.0,24.0,1000.0,0.35,1591.0
50778.0,24.0,1000.0,0.35,2290.0
48598.0,24.0,1000.0,0.35,2509.0
61723.0,24.0,1000.0,0.35,1453.0
97134.0,24.0,1000.0,0.35,149.0
54509.0,24.0,1000.0,0.35,3010.0
34753.0,32.0,1000.0,0.35,445.0
932.0,32.0,1000.0,0.35,1105.0
61325.0,32.0,1000.0,0.35,-1.0
85987.0,32.0,1000.0,0.35,-1.0
53492.0,32.0,1000.0,0.35,-1.0
50778.0,32.0,1000.0,0.35,1105.0
48598.0,32.0,1000.0,0.35,-1.0
61723.0,32.0,1000.0,0.35,768.0
97134.0,32.0,1000.0,0.35,3296.0
54509.0,32.0,1000.0,0.35,-1.0
